Account {0} does not exists,חשבון {0} אינו קיים במערכת,
Account {0} has been entered multiple times,החשבון {0} הוזן מספר פעמים,
Account {0} is frozen,החשבון {0} מוקפא,
Account {0} is invalid. Account Currency must be {1},חשבון {0} אינו חוקי. מטבע החשבון חייב להיות {1},
Account {0}: Parent account {1} can not be a ledger,חשבון {0}: חשבון האב {1} לא יכול להיות יומן חשבונות,
Account {0}: Parent account {1} does not belong to company: {2},חשבון {0}: חשבון האב {1} אינו שייך לחברה: {2},
Account {0}: Parent account {1} does not exist,חשבון {0}: חשבון האב {1} לא קיים במערכת,
Account {0}: You can not assign itself as parent account,חשבון {0}: לא ניתן להקצות אותו כחשבון אב,
Account: {0} can only be updated via Stock Transactions,ניתן לעדכן את חשבון {0} רק עם עסקאות במלאי,
Account: {0} with currency: {1} can not be selected,לא ניתן לבחור את חשבון {0} עם מטבע {1},
Accountant,חשב,
Accounting,חשבונאות,
Accounting Entry for Stock,רשומה חשבונאית למלאי,
Accounting Entry for {0}: {1} can only be made in currency: {2},ניתן להפיק רשומה חשבונאית ל-{0}: {1} רק בעבור מטבע {2}, 
Accounting Ledger,ספר חשבונות,
Accounting journal entries.,רשומות יומן החשבונות,
Accounts,חשבונות,
Accounts Manager,מנהל חשבונות,
Accounts Payable,חשבונות לתשלום,
Accounts Payable Summary,סכום החשבונות לתשלום,
Accounts Receivable,חשבונות חייבים,
Accounts Receivable Summary,סיכום חשבונות חייבים,
Accounts User,חשבונות משתמשים,
Accounts table cannot be blank.,טבלת החשבונות לא יכולה להיות ריקה.,
Accumulated Depreciation,פחת נצבר,
Accumulated Depreciation Amount,סכום פחת נצבר,
Accumulated Depreciation as on,פחת נצבר כגון,
Accumulated Monthly,צבירה חודשית,
Accumulated Values,ערכים מצטברים,
Action,פעולה,
Actions,פעולות,
Active,פעיל,
Active Leads / Customers,לידים פעילים / לקוחות פעילים,
Activity Cost exists for Employee {0} against Activity Type - {1},קיימת עלות פעילות עבור העובד {0} עבור פעילות מסוג {1}
Activity Cost per Employee,עלות הפעילות למול עובד
Activity Type,סוג הפעילות,
Actual Qty,כמות בפועל,
Actual Qty is mandatory,יש למלא את הקטגוריה כמות בפועל ,
Actual Qty: Quantity available in the warehouse.,כמות בפועל: הכמות הזמינה במחסן.,
Actual type tax cannot be included in Item rate in row {0},סוג המס בפועל לא יכול להיכלל בערך הפריט בשורה {0},
Add,הוסף,
Add / Edit Prices,הוספת/עריכת מחירים,
Add Comment,הוספת תגובה,
Add Item,הוספת פריט,
Add Items,הוספת פריטים,
Add Serial No,הוספת מספר סידורי,
Add more items or open full form,הוספת פריטים או פתיחת טופס מלא,
Add/Remove Recipients,הוספת/הסרת נמענים,
Added,נוסף,
Address,כתובת,
Address Line 2,שורת כתובת 2,
Address Title,כותרת כתובת,
Address Type,סוג הכתובת,
Administrative Expenses,הוצאות ההנהלה,
Administrative Officer,מנהל,
Administrator,מנהל,
Admission,כניסה,
Admitted,מורשה,
Advance Amount,מקדמה,
Advance Payments,תשלומים מראש,
Advance amount cannot be greater than {0} {1},המקדמה לא יכולה להיות גדולה מ-{0} {1}
Advertising,פרסום,
Aerospace,התעופה והחלל,
Against,למול,
Against Account,למול החשבון,
Against Journal Entry {0} does not have any unmatched {1} entry,אין רשומה תואמת למול רשומת יומן החשבונות {1},
Against Journal Entry {0} is already adjusted against some other voucher,רשומת יומן החשבונות {0} כבר מותאמת למול שובר אחר,
Against Supplier Invoice {0} dated {1},למול חשבונית הספק {0} מתאריך {1},
Against Voucher,למול השובר,
Against Voucher Type,מול סוג השובר,
Age,גיל,
Age (Days),גיל (ימים),
Ageing Based On,התיישנות המבוססת על,
Ageing Range 1,טווח התיישנות 1,
Ageing Range 2,טווח התיישנות 2,
Ageing Range 3,טווח התיישנות 3,
Agriculture,חקלאות,
Airline,חברת תעופה,
All Addresses.,כל הכתובות.,
All Contacts.,כל אנשי הקשר.,
All Customer Groups,כל קבוצות הלקוחות,
All Day,כל היום,
All Item Groups,בכל קבוצות הפריט,
All Jobs,כל הצעות העבודה,
All Products or Services.,כל המוצרים או השירותים.,
All Territories,כל השטחים,
All Warehouses,כל המחסנים,
All items have already been invoiced,כל הפריטים כבר נכנסו לחשבונית,
All these items have already been invoiced,כל הפריטים הללו כבר נכנסו לחשבונית,
Allocated Amount,הסכום שהוקצה,
Allow Delete,אפשר מחיקה,
Amended From,תוקן מ,
Amount,סכום,
Amount After Depreciation,הסכום לאחר פחת,
Amount to Bill,סכום לתשלום,
Amount {0} {1} against {2} {3},הסכום {0} {1} למול {2} {3},
Amount {0} {1} deducted against {2},הסכום {0} {1} מנוכה למול {2},
Amount {0} {1} transferred from {2} to {3},הסכום {0} {1} הועבר ל-{2},
Amount {0} {1} {2} {3},הסכום {0} {1} {2} {3},
Amt,כמות,
"An Item Group exists with same name, please change the item name or rename the item group","קיימת קבוצת פריטים עם שם זהה אנא שנו את שם הפריט או לחלופין שנו את שם קבוצת הפריטים",
"An item exists with same name ({0}), please change the item group name or rename the item","קיים פריט בעל שם זהה ({1}) אנא שנו את שם קבוצת הפריטים או לחלופין את שם הפריט",
Analyst,אנליסט,
Analytics,ניתוח,
Annual Salary,משכורת שנתית,
Another Period Closing Entry {0} has been made after {1},נוצרה רשומת סגירת תקופה נוספת {0} לאחר {1},
Another Sales Person {0} exists with the same Employee id,איש המכירות {0} כבר קיים עם מספר עובד זהה,
Apparel & Accessories,ביגוד ואביזרים,
Applicable For,ישים ל,
Application of Funds (Assets),הצהרת כספים (נכסים),
Application period cannot be outside leave allocation period,תקופת ההשמה לא יכולה להימשך מעבר לתקופה שהוקצתה,
Applied,הוגש,
Apply Now,הגש כעת
Appraisal {0} created for Employee {1} in the given date range,הערכה {0} נוצרה עבור העובד {1} בטווח התאריכים הנתון,
Apprentice,מתמחה,
Approval Status,סטטוס אישור,
Approval Status must be 'Approved' or 'Rejected','סטטוס האישור חייב להיות 'מאושר' או 'נדחה,
Approve, לאשר
Approving Role cannot be same as role the rule is Applicable To,אישור התפקיד לא יכול להתבצע בידי בעל תפקיד זהה ,
Approving User cannot be same as user the rule is Applicable To,אישור משתמש לא יכול להתבצע בידי משתמש זהה לו,
As On Date,כמו בתאריך,
Asset,נכס,
Asset Category,קטגורית הנכס,
Asset Category is mandatory for Fixed Asset item,חובה להזין את קטגורית הנכס עבור פריט רכוש קבוע,
Asset Movement,תנועת הנכס,
Asset Movement record {0} created, תיעוד תנועת הנכס {0} נוצר,
Asset Name,שם הנכס,
"Asset cannot be cancelled, as it is already {0}","לא ניתן לבטל את הנכס כאשר הוא במצב {0}",
Asset scrapped via Journal Entry {0},הנכס נמחק באמצעות רשומת היומן {0},
"Asset {0} cannot be scrapped, as it is already {1}","לא ניתן למחוק את הנכס {0} כאשר הוא במצב {1}",
Asset {0} does not belong to company {1},הנכס {0} אינו שייך לחברה {1},
Asset {0} must be submitted,יש להציע את הנכס {0},
Assign,להקצות,
Assign To,להקצות ל,
Associate,שותף,
Atleast one item should be entered with negative quantity in return document,פריט אחד לכל הפחות חייב להיות בכמות שלילית במסמך ההחזרה,
Atleast one of the Selling or Buying must be selected,יש לבחור קנייה או מכירה אחת לפחות,
Atleast one warehouse is mandatory,יש להזין מחסן אחד לפחות,
Attach Logo,צרף לוגו,
Attachment,קובץ מצורף,
Attachments,קבצים מצורפים,
Attendance,נוכחות,
Attendance From Date and Attendance To Date is mandatory,יש למלא את הקטגוריות 'נוכחות מתאריך' ו'הנוכחות עד לתאריך',
Attendance can not be marked for future dates,לא ניתן לסמן נוכחות עבור תאריכים עתידיים,
Attendance for employee {0} is already marked,כבר מסומנת נוכחות לעובד {0},
Attendance has been marked successfully.,הנוכחות סומנה בהצלחה.,
Attribute table is mandatory,יש למלא טבלת מאפיינים ,
Attribute {0} selected multiple times in Attributes Table,מאפיין {0} נבחרה מספר פעמים בטבלת המאפיינים,
Authorized Signatory,מורשה חתימה,
Auto Material Requests Generated,נוצרה בקשת חומרים אוטומטית,
Automotive,רכב,
Available,זמין,
Available Qty,כמות זמינה,
Available {0},זמין {0},
Average Age,גיל ממוצע,
Avg Daily Outgoing,ממוצע יומי יוצא,
Avg. Selling Rate,מחיר מכירה ממוצע,
BOM,BOM,
BOM Browser,סייר BOM,
BOM No, מספר BOM,
BOM Rate, מחיר BOM,
BOM and Manufacturing Quantity are required,יש להזין את BOM וכמות הייצור,
BOM does not contain any stock item,BOM אינו מכיל כל פריט מלאי,
BOM {0} does not belong to Item {1},BOM {0} אינו שייך לפריט {1},
BOM {0} must be active,BOM {0} חייב להיות פעיל,
BOM {0} must be submitted,יש להוסיף BOM {0},
Balance,מאזן,
Balance Qty,סכום המאזן,
Balance Sheet,מאזן,
Balance Value,ערך המאזן,
Balance for Account {0} must always be {1},מאזן לחשבון {0} חייב תמיד להיות {1},
Bank,בנק,
Bank Account,חשבון בנק,
Bank Accounts,חשבונות בנק,
Bank Draft,המחאה בנקאית,
Bank Entries,רשומות בנק,
Bank Name,שם בנק,
Bank Overdraft Account,חשבון משיכת יתר,
Bank Reconciliation,התאמת בנק,
Bank Reconciliation Statement,הצהרת התאמת בנק,
Bank Statement balance as per General Ledger,הצהרת מאזן בנקאי למול ספר החשבונות הכללי,
Bank account cannot be named as {0},חשבון הבנק לא יכול להיקרא {0},
Bank/Cash transactions against party or for internal transfer,עסקאות בנק / עסקאות מזומנים למול צד פיננסי או להעברה פנימית,
Banking,בנקאות,
Banking and Payments,בנקאות ותשלומים,
Barcode {0} already used in Item {1},ברקוד {0} כבר מתאים לפריט {1},
Based On,מבוסס על,
Basic,בסיסי,
Batch,אצווה.,
Batch Inventory,מלאי האצווה,
Batch No,מספר אצווה,
Batch number is mandatory for Item {0},חובה להזין מספר אצווה לפריט {0},
Batch {0} of Item {1} has expired., האצווה {0} של הפריט {1} פגה.,
Bill Date,תאריך חשבונית,
Bill No,מספר חשבונית,
Bill of Materials,BOM,
Bill of Materials (BOM),BOM (BOM),
Billed,מחויב,
Billed Amount,סכום החיוב,
Billing,חיוב,
Billing Address,כתובת לחיוב,
Billing Amount,סכום החיוב,
Billing Status,סטטוס החיוב,
Bills raised by Suppliers.,חיובים מהספקים.,
Bills raised to Customers.,חיובים ללקוחות.,
Biotechnology,ביוטכנולוגיה,
Black,שחור,
Both Warehouse must belong to same Company,שני המחסנים חייבים להיות שייכים לאותה החברה,
Branch,סניף,
Broadcasting,שידור,
Brokerage,תיווך,
Browse BOM,עיין במפרטי החומרים,
Budget Variance Report,דוח גיוון תקציבי,
Budget cannot be assigned against Group Account {0},לא ניתן להקצות תקציב לחשבון קבוצתי {0},
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","לא ניתן להקצות תקציב ל-{0} כיוון שחשבון זה לא משמש להכנסות או הוצאות",
Buildings,בניינים,
Bundle items at time of sale.,צרף את הפריטים בזמן המכירה.,
Business Development Manager,מנהל פיתוח עסקי,
Buy,רכש,
Buying,רכש,
Buying Amount,סכום הרכש,
"Buying must be checked, if Applicable For is selected as {0}","רכש חייב להיות מסומן אם הוגדר כישים ל-{0}",
C-Form records,רשומות C-טופס,
C-form is not applicable for Invoice: {0},טופס C אינו ישים לחשבונית {0},
CEO,"מנכ""ל",
CRM,ניהול קשרי לקוחות,
Calculated Bank Statement balance,מאזן חשבון בנק מחושב,
Calls,שיחות,
Campaign,קמפיין,
Can be approved by {0},יכול להיות מאושר על ידי {0},
"Can not filter based on Account, if grouped by Account","לא ניתן לסנן על פי חשבון במקרה בו השאילתא מקובצת על פי חשבון",
"Can not filter based on Voucher No, if grouped by Voucher","לא ניתן לסנן על פי מספר שובר במקרה בו השאילתא מקובצת על פי שובר",
Can only make payment against unbilled {0},ניתן לבצע תשלום רק למול {0} שלא שולם,
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',ניתן להפנות לשורה אך ורק אם סוג החיוב הוא בשדה 'סכום השורה הקודמת' או 'סך השורה הקודמת',
Cancel,לבטל,
Cancel Material Visit {0} before cancelling this Warranty Claim,בטל ביקורת חומרים {0} לפני ביטול תביעת אחריות הזו,
Cancel Material Visits {0} before cancelling this Maintenance Visit,בטל ביקורת חומרים {0} לפני ביטול ביקורת תחזוקה זו,
Cannot cancel because submitted Stock Entry {0} exists,לא ניתן לבטל כיוון שקיימת רשומת מלאי שנשלחה {0},
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,לא ניתן לשנות את תאריך תחילת שנת הכספים ואת תאריך סיום שנת הכספים כאשר היא כבר שמורה .,
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","לא ניתן לשנות את מטבע ברירת המחדל של החברה כיוון שקיימת עסקה המתנהלת במטבע זה יש לבטל את העסקה על מנת לשנות את מטבע ברירת המחדל.",
Cannot change status as student {0} is linked with student application {1},"לא ניתן לשנות סטטוס, סטודנט {0} מקושר לבקשה {1}",
Cannot convert Cost Center to ledger as it has child nodes,לא ניתן להמיר מרכז עלות ליומן חשבונות כיוון שיש לו תת-מרכזים,
Cannot covert to Group because Account Type is selected.,לא ניתן להמיר לקבוצה כיוון שסוג החשבון כבר נבחר.,
Cannot deactivate or cancel BOM as it is linked with other BOMs,לא ניתן לבטל את BOM כיוון שהוא מקושר ל-BOM אחרים,
"Cannot declare as lost, because Quotation has been made.","לא ניתן לסמן כאבוד כיוון שהוגשה כבר הצעת מחיר.",
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"'לא ניתן לנכות כאשר הקטגוריה היא 'אומדן' או 'אומדן וסכום'",
"Cannot delete Serial No {0}, as it is used in stock transactions","לא ניתן למחוק את המספר הסידורי {0} כיוון שהוא משמש בתנועות מלאי",
Cannot enroll more than {0} students for this student group.,לא ניתן לרשום יותר מ{0} תלמידים לקבוצת תלמידים זו.,
Cannot produce more Item {0} than Sales Order quantity {1},לא ניתן ליצר מהפריט {0} יותר מכמות ההזמנות {1},
Cannot refer row number greater than or equal to current row number for this Charge type,לא ניתן להפנות למספר שורה הגדול או שווה למספר השורה הנוכחית בעבור סוג תשלום זה,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,לא ניתן לבחור סוג תשלום בשדה 'סכום השורה הקודמת' או 'סך השורה הקודמת' בשורה הראשונה,
Cannot set as Lost as Sales Order is made.,לא ניתן להגדיר פריטים כאבודים בהזמנה שנעשתה.,
Cannot set authorization on basis of Discount for {0},לא ניתן להגדיר הרשאות על בסיס הנחה עבור {0},
Cannot {0} {1} {2} without any negative outstanding invoice,לא ניתן {0} {1} {2} מבלי לציין שהחשבונית נפרעה,
Capital Equipments,מכונות,
Capital Stock,הון,
Cart,עגלת קניות,
Cart is Empty,עגלת הקניות ריקה,
Case No(s) already in use. Try from Case No {0},תיק זה כבר בשימוש נסו את תיק מספר {0},
Cash,מזומנים,
Cash Flow Statement,תצהיר תזרים מזומנים,
Cash Flow from Financing,תזרים מזומנים ממימון,
Cash Flow from Investing,תזרים מזומנים מהשקעות,
Cash Flow from Operations,תזרים מזומנים מפעילות שוטפת,
Cash In Hand,מזומן,
Cash or Bank Account is mandatory for making payment entry,על מנת להכין רשומת תשלום יש להוסיף את חשבון הבנק או התשלום במזומן,
Casual Leave,חופשה ארעית,
Category,קטגוריה,
Category Name,שם הקטגוריה,
Change Amount,שינוי הסכום,
Charge of type 'Actual' in row {0} cannot be included in Item Rate,תשלום 'בפועל' בשורה {0} אינו יכול להיות כלול במחיר הפריט,
Charges are updated in Purchase Receipt against each item,החיובים מתעדכנים בקבלת הרכישה למול כל פריט,
"Charges will be distributed proportionately based on item qty or amount, as per your selection","התשלומים יחולקו באופן יחסי על פי כמות הפריטים לפי בחירתך",
Chart Of Accounts,טבלת החשבונות,
Chart of Cost Centers,טבלת מרכזי עלות,
Check all,סמן הכל,
Checkout,תשלום,
Chemical,כימי,
Cheque,המחאה,
Cheque/Reference No,המחאה/מספר אסמכתא,
Cheques and Deposits incorrectly cleared,ההמחאות והפקדונות נסלקו באופן שגוי
Child Item should not be a Product Bundle. Please remove item `{0}` and save,לא ניתן להזין תת-פריט בחבילת המוצרים אנא הסר את פריט {0} ושמור,
Child nodes can be only created under 'Group' type nodes,ניתן ליצור תת קבוצות אך ורק תחת 'קבוצות',
Child warehouse exists for this warehouse. You can not delete this warehouse.,לא ניתן למחוק מחסן זה כיוון שקיים תחתיו תת-מחסן., 
Circular Reference Error,שגיאת הפניה מעגלית,
City,עיר,
City/Town,עיר/יישוב,
Clearance Date,תאריך סליקה
Clearance Date not mentioned,חסר תאריך סליקה,
Clearance Date updated,תאריך סליקה עודכן,
Client,לקוח,
Close Balance Sheet and book Profit or Loss.,סגור את מאזן הרווחים וההפסדים.,
Closed,סגור,
Closed order cannot be cancelled. Unclose to cancel.,"לא ניתן לבטל הזמנה סגורה, פתחו אותה מחדש על מנת לבטלה.",
Closing (Cr),סגירה (שער חליפין), 
Closing (Dr),סגירה (קבלת פיקדון),
Closing Account {0} must be of type Liability / Equity,סגירת חשבון {0} חייבת להיות מסוג חבות/הון עצמי,
Code,קוד,
Color,צבע,
Colour,צבע,
Commercial,מסחרי,
Commission,עמלה,
Commission on Sales,עמלת מכירות,
Commission rate cannot be greater than 100,שיעור עמלה לא יכול להיות גדול מ-100,
Community Forum,פורום קהילתי,
Company (not Customer or Supplier) master.,בעל חברה (לא לקוח או ספק).,
Company Abbreviation,קיצור חברה,
Company Name,שם החברה,
Company Name cannot be Company,"שם החברה לא יכול להיות "חברה"",
Company {0} does not exist,החברה {0} לא קיימת
Compensatory Off,פיצוי,
Completed Qty can not be greater than 'Qty to Manufacture', הכמות שהושלמה לא יכולה להיות גדולה מ'כמות לייצור',
Completion Date,תאריך יעד
Computer,מחשב,
Condition,מצב,
Confirmed orders from Customers.,הזמנות מאושרות מלקוחות.,
Consulting,ייעוץ,
Consumable,מתכלה,
Consumed,נצרך,
Consumed Amount,כמות נצרכת,
Consumed Qty,כמות נצרכת,
Consumer Products,מוצרי צריכה,
Contact,צור קשר,
Contact Details,פרטי קשר,
Content,תוכן,
Content Type,סוג תוכן,
Contract,חוזה,
Contract End Date must be greater than Date of Joining,תאריך סיום חוזה חייב להיות מאוחר מתאריך פתיחת החוזה,
Contribution %,% תרומה,
Contribution Amount,סכום תרומה,
Conversion factor for default Unit of Measure must be 1 in row {0},שער ההמרה של יחידת ברירת המחדל חייב להיות 1 בשורה {0},
Conversion rate cannot be 0 or 1,שער ההמרה לא יכול להיות 0 או 1,
Convert to Group,המרה לקבוצה,
Convert to Non-Group,ביטול המרה לקבוצה,
Cosmetics,קוסמטיקה,
Cost Center,מרכז עלות,
Cost Center is required in row {0} in Taxes table for type {1},מרכז העלות נדרש בשורה {0} בטבלת המיסים לסוג {1},
Cost Center with existing transactions can not be converted to group,לא ניתן להמיר מרכז עלות לקבוצה כאשר קיימות בו עסקאות ,
Cost Center with existing transactions can not be converted to ledger,לא ניתן להמיר מרכז עלות ליומן חשבונות אם קיימות בו עסקאות,
Cost Centers,מרכזי עלות,
Cost Updated,עלות עדכון,
Cost as on,עלות כגון,
Cost of Delivered Items,עלות פריטים שנשלחו,
Cost of Goods Sold,עלות מכירת טובין,
Cost of Issued Items,עלות פריטים שהונפקו,
Cost of New Purchase,עלות רכישה חדשה,
Cost of Purchased Items,עלות פריטים שנרכשו,
Cost of Scrapped Asset,עלות נכסים שהושלכו,
Cost of Sold Asset,עלות נכסים שנמכרו,
Cost of various activities,עלות של פעילויות שונות,
"Could not update stock, invoice contains drop shipping item.","לא ניתן לעדכן את המלאי, החשבונית מכילה פריט שנשלח.",
Country wise default Address Templates,תבניות כתובת על פי מדינה,
Course,קורס,
Course Schedule,תוכנית הקורס,
Cr,שער החליפין,
Create,צור,
Create Print Format,צור תבנית הדפסה,
Create Quotation,צור הצעת מחיר,
Create Salary Slip,צור תלוש שכר,
Create Student Groups,צור קבוצת תלמידים,
Create Variants,צור גרסאות,
"Create and manage daily, weekly and monthly email digests.","צור ונהל לקט יומי, שבועי וחודשי לדואר האלקטרוני.",
Create rules to restrict transactions based on values.,צור כללים להגבלת עסקאות המבוססות על מחירים.,
Created By,נוצר על-ידי,
Credit,אשראי,
Credit Account,חשבון אשראי,
Credit Balance,יתרת אשראי,
Credit Card,כרטיס אשראי,
Credit Limit,מגבלת אשראי,
Credit Note,שטר אשראי,
Creditors,נושים,
Currency can not be changed after making entries using some other currency,לא ניתן לשנות מטבע לאחר יצירת רשומות המשתמשות במטבע אחר,
Currency exchange rate master.,אשף המרת המטבעות.,
Currency for {0} must be {1},המטבע עבור {0} חייב להיות {1},
Currency is required for Price List {0},מטבע נדרש למחיר המחירון {0},
Currency of the Closing Account must be {0},מטבע של חשבון הסגירה חייב להיות {0},
Current Assets,נכסים שוטפים,
Current BOM and New BOM can not be same,BOM הנוכחי ו-BOM החדש אינם יכולים להיות זהים,
Current Job Openings,משרות פתוחות נוכחיות,
Current Liabilities,התחייבויות שוטפות,
Current Qty,כמות נוכחית,
Custom HTML,מותאם אישית HTML,
Custom?,מותאם אישית?,
Customer,לקוח,
Customer Addresses And Contacts,כתובת לקוח ופרטי קשר,
Customer Contact,פרטי הקשר של הלקוח,
Customer Database.,מאגר מידע על לקוחות.,
Customer Group,קבוצת לקוחות,
Customer Name,שם לקוח,
Customer Service,שירות לקוחות,
Customer and Supplier,לקוחות וספקים,
Customer is required,לקוח נדרש,
Customer required for 'Customerwise Discount',נדרש לקוח לקטגוריה 'הנחות מתואמות ללקוחות'
Customer {0} does not belong to project {1},לקוח {0} אינו שייכים לפרויקט {1},
Customizing Forms,התאמה אישית של טפסים,
Daily Reminders,תזכורות יומיות,
Data Import and Export,נתוני יבוא ויצוא,
Database of potential customers.,מסד הנתונים של לקוחות פוטנציאליים.,
Date Format,פורמט התאריך,
Date Of Retirement must be greater than Date of Joining,תאריך הפרישה חייב להיות לאחר תאריך ההצטרפות,
Date is repeated,התאריך חוזר על עצמו,
Date of Birth,תאריך לידה,
Date of Birth cannot be greater than today.,תאריך הלידה לא יכול להיות לפני היום.,
Date of Joining,תאריך ההצטרפות,
Date of Joining must be greater than Date of Birth,תאריך ההצטרפות חייב להיות לאחר תאריך הלידה,
Datetime,תאריך ושעה,
Day,יום,
Debit,חיוב,
Debit Account,חשבון חיוב,
Debit Note,תעודת חיוב,
Debit To is required,יש להזין חיוב,
Debit and Credit not equal for {0} #{1}. Difference is {2}.,החיוב והאשראי לא שווים {0} # {1}. ההבדל ביניהם הוא {2}.,
Debtors,בעלי חוב,
Debtors ({0}),בעלי חוב ({0}),
Deduction,ניכוי,
Default Activity Cost exists for Activity Type - {0},עלות פעילות ברירת המחדל קיימת לסוג פעילות - {0},
Default BOM ({0}) must be active for this item or its template,ברירת המחדל של BOM חייב להיות פעיל לפריט זה או לתבנית של פריט זה  ,
Default Letter Head,ברירת מחדל של נייר המכתבים,
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,"לא ניתן לשנות את ברירת המחדל של יחידת המידה לפריט {0} זה כיוון שכבר בוצעו עסקה/אות עם יחידת מידה אחרת. עליך ליצור פריט חדש על מנת להשתמש בברירת מחדל אחרת.",
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',ברירת המחדל של יחידה המידה למשתנה {0} חייבת להיות זהה לזו שבתבנית,
Default settings for buying transactions.,הגדרות ברירת מחדל עבור עסקאות רכש.,
Default settings for selling transactions.,הגדרות ברירת מחדל עבור עסקאות מכר.,
Defaults,ברירות מחדל,
Defense,ביטחון,
Define budget for a financial year.,הגדרת תקציב עבור שנת הכספים.,
Delay in payment (Days),עיכוב בתשלום (ימים),
Delete all the Transactions for this Company,מחיקת כל העסקאות לחברה זו,
Delete permanently?,למחוק לצמיתות?,
Delivered,נמסר,
Delivered Amount,הסכום שהועבר,
Delivered Qty,הכמות שנמסרה,
Delivered: {0},נמסר: {0},
Delivery,משלוח,
Delivery Date,תאריך משלוח,
Delivery Note,תעודת משלוח,
Delivery Note {0} is not submitted,תעודת משלוח {0} לא נשלחה,
Delivery Note {0} must not be submitted,אסור שתשלח תעודת משלוח {0},
Delivery Notes {0} must be cancelled before cancelling this Sales Order,יש לבטל את תעודות משלוח {0} לפני ביטול הזמנה זו,
Delivery Status,סטטוס המשלוח,
Delivery warehouse required for stock item {0},מחסן אספקה נדרש לפריט המלאי {0},
